Designator,Mid X,Mid Y,Rotation,Layer
C1,121.92,-111.76,270.0,top
C2,184.15,-111.76,270.0,top
C3,190.5,-76.2,270.0,top
C4,131.445,-76.2,90.0,top
C5,184.15,-124.459293,270.0,top
C6,121.92,-124.46,270.0,top
C7,191.5,-120.65,0.0,top
D2,190.5,-109.22,270.0,top
J1,156.21,-142.24,0.0,top
J2,118.11,-124.465,180.0,top
J3,156.21,-134.62,270.0,bottom
J4,118.11,-83.825,180.0,top
J5,168.91,-117.475,270.0,bottom
J6,175.26,-76.2,270.0,bottom
R1,121.92,-77.47,180.0,top
RN1,137.16,-117.475,0.0,top
U1,138.43,-110.49,90.0,top
U2,151.13,-92.705,90.0,top
U3,138.43,-125.73,90.0,top
U4,168.91,-125.73,90.0,top
U5,147.32,-74.93,90.0,top
U6,175.26,-74.93,90.0,top
U7,168.91,-110.49,90.0,top
